hateSpeech,counterSpeech,cnType,Target
Allowing homosexual people to serve in the military increases suicide rates among service members.,Homosexuality does not increase the suicide rate among service members. Hate and homophobia do.,Informative,LGBT+
Every Muslim is a potential terrorist.,"And views like that, that lumps all Muslims together, pretends they are less than human pushes them a tiny bit closer.",Denouncing,MUSLIMS
Black people are the source of crime in our society.,"It is not true that blacks are the source of crime in our society. The problem is violence and poverty, not race.",Informative,POC
"Islamic are criminals: they rape, enslave and murder people. Islam is more a worship than a religion and we do not have anything to share with them.","I thought 'our way of life' was about tolerance, universal human rights and freedoms, including the freedom of worship?",Positive,MUSLIMS
The problem of rape in Europe has been present since Muslims immigrants arrived there. They have been protected for years by the government and by the police who have not taken action.,That is what the headlines suggest BUT actual cases where migrants are the abuser is just a drop in the ocean compared to the total number of cases.,Informative,MUSLIMS
Have Muslims ever made a contribution to our society?,Pioneered science.,Informative,MUSLIMS
Muslims are a cancer in our society. They are literally poisoning our children with their violence.,Not all Muslims are bad. But to say that all Muslims are violent is simply untrue.,Informative,MUSLIMS
"Your gay friends probably have sex with dogs, you are an embarrassment to your family.","I find your concerns with gay people overwhelming, they are not the cause of dog abandonments and they do not have sex with animals. Instead of hiding behind homophobia, keep in mind that they are contributing members of society.",Informative,LGBT+
Persons with learning difficulties should be discouraged to attend primary school and they should be excluded from education.,"Education is about development and learning, so if disadvantaged people are excluded, then the education system would be about learning exclusion and discrimination.",Positive,DISABLED
If homosexuals want to change they should go to a conversion therapy where they are constantly taught to love themselves and other people.,It is not necessary to change their sexuality to love themselves and others. We just need to accept their right to love whoever they want.,Positive,LGBT+
Every Muslim can commit a terroristic attack one day.,The majority of Muslims worldwide are peaceful.,Positive,MUSLIMS
We cannot allow people from different cultures to coexist in our country.,"This can lead to an increase in anti-social behaviour, discrimination, and violence. Do you really want that?",Denouncing,MIGRANTS
Jews are cheap.,"This is just a myth, disproved by the tzedakah tradition of giving to the poor. Just in America, this religious call has resulted in an impressive record of philanthropy (and not only to Jewish causes).",Informative,JEWS
Islam is incompatible with British culture. Muslims should all be expelled.,The West has been a great supporter of freedom and democracy. Would you rather live under the fear of your beliefs or in a real democracy?,Positive,MUSLIMS
All Jews are criminals.,"Although antisemitism is a pervasive and longstanding problem in many parts of the world, it has historically been particularly strong and sustained in our country. Your statement is a further evidence of this.",Denouncing,JEWS
Immigrants from the Middle East and Africa are not welcome here! They have no place in a modern democratic state!,"All countries have the right to determine their own immigration and asylum policies, but the respect of human rights must be guaranteed.",Informative,MIGRANTS
"Our women and girls are frequently victim of rapes, because our goverment brought Muslims in our country.",You see to be suggesting that sex crimes and child sexual exploitation is not something that followers of other faiths are involved in?,Denouncing,MUSLIMS
Muslims should be taken away from our country because they aren't accepted by anyone.,I have so many amazing Muslim friends. I do not want them deported. What is your reasoning?,Positive,MUSLIMS
Uk is being islamized very fast. British government submits to every whim of Islam.,"People have the right to build their churches and follow their confession. They are not trying to convert us all, are they? So we should just leave them at peace.",Informative,MUSLIMS
"Women should be confined to the home, to raise the children. Their body exist just for this purpose.",The message to take from your comments is that you find women's bodies repulsive? How about this: think about the lives and the contributions to society that would be lost if you continued to perpetuate this gender inequality.,Denouncing,WOMEN
"We should expel Muslims, everyone wants them out of the country.","But can we keep the doctors and nurses please, oh and the taxi drivers and my local take away, and my son's favourite teacher and I did enjoy getting all those gold medals last Olympics and others.",Positive,MUSLIMS
Muslim are ilnesses carriers. These people are sick in their DNA. They should be isolated.,"According to the WHO (World Health Organisation) there are only 48 Muslim-majority countries in the whole of the 190 WHO member states as of 2011. A study showed that the health condition differences for those countries are related to the usage of clean water, which is often not available there. So the problem has nothing to do with DNA.",Informative,MUSLIMS
Islam is a just a repressive ideology that persecutes women and gay people.,"An ideology based on a holy book written thousands of years ago isn't likely to match up to contemporary standards of equality and tolerance, but its not the ideology that matters, it is how it is followers act it out.",Informative,MUSLIMS
Jews are better at being sneaky than honest.,We are all guilty of this if we fail to condemn hate.,Denouncing,JEWS
"There are bands of muslim rapists everywhere in telford, rotherham, rochdale, oxford, newcastle etc. It is awful!",I cannot agree that rape gangs are made up only from Muslims. People of all nationalities can become criminals. We should deal with it without making racist statements.,Informative,MUSLIMS
Feminism is a violent ideology that is hostile to men.,"Feminism is not hostile to men. On the contrary, feminism is an attack on unequal power structures.",Informative,WOMEN
Islam looks like a cult more than like a religion. It is beliefs make people rape children and commit violence. It should not be accepted in our country.,"Let's have a crusade. Except did not the last one lead to child rape, enslavement and murder?",Informative,MUSLIMS
"Talking of shitholes, I have to go to Londonistan tomorrow #LondonHasFallen.",Send me a postcard!,Humor,MUSLIMS
"There are groups of Muslims, instructed by Koran, that rape our women, and we allow this to happen. Why?","The media focuses on a small proportion of rape cases involving Muslim gangs, whilst a huge number of non-Muslim cases get no news coverage, and many are not reported at all.",Informative,MUSLIMS
I think that Ramadam will not prevent Muslims from committing terrorist attacks and sexual violence on our children.,"There's the same proportion of criminals among muslims as it is among western people. You cannot say that Muslims are doing terrorism and raping children, this is simply exaggeration.",Denouncing,MUSLIMS
"Zionist extremists conspire in Jerusalem. Their objectives are to cause chaos, carnage, murder, create more refugees, and destroy Europe.",Why should they? I wonder if you have any evidence that makes you believe this.,Informative,JEWS
People that live in the West cannot live with Muslims.,"Muslims have been part of Western society for centuries and centuries, they helped shape and design Western society- to say they are incompatible is a complete incongruity.",Positive,MUSLIMS
The vast majority of Muslims are unemployed and refuse to work.,Refuse to work do they? But at the same time they're coming over here taking our jobs. Tricky one that!,Denouncing,MUSLIMS
"Are you an English girl living in an Islamic area? Remember to keep away from Muslim men. Do not.Take gifts of sweets, cigarettes, drink or drugs. Do not. Accept lifts or 'party' invitations. Do not.Trust Police or Social Workers.",Are you a misogynistic man trying to use objectification of women to justify your hate?,Denouncing,MUSLIMS
"If you are an English girl and you moved in a islamic area, you should beware of muslim men. Do not accept anything from them. Pay attention also to the police!",If you really cared about stopping Child Abuse you would know that the majority of perpetrators are white men often known to the child. Looks like you are really using the fact that some children have been abused to justify your own prejudice. Shameful!,Denouncing,MUSLIMS
Western societies are too much civilised to welcome Muslims.,Define western society? Who chooses this?,Question,MUSLIMS
Those who are to blame are the ones who want to let Muslims in Britain.,The solution to Islamophobia is to stop Islamophobia. It is not to ban Muslims.,Informative,MUSLIMS
"Migration is not only a problem for the UK, but also for the whole of the world that is already troubled with overpoulation and pollution.","Exactly. Globalization, overpopulation, industrialization, wars are responsible for a lot of the problems that we see in the world today. Migration looks like a consequence.",Informative,MIGRANTS
Rape gangs are mostly made of Muslims they are commanded by the Koran and commit sexual violence on thousands of our girls. How can we tolerate this?,"Would you like to point out where in the Koran it commands rape gangs? Just a heads up, you are gonna struggle to find a quote.",Question,MUSLIMS
"The Pakistani Muslims in the ghettos of Birmingham, Bradford and other cities hate Jews and steal our jobs. They are divided into two classes: Radical Islam class and middle class.",It is funny how lots of Jewish and Muslim groups are coming together to fight hate crime. (insert example),Denouncing,MUSLIMS
Muslims do not have nothing useful that can enrich our culture.,"It seems like you are saying this only because they are followers of Islam? If yes, this does not make any sense. They contribute to the society like any other individual is.",Denouncing,MUSLIMS
Migrants steal our jobs,Many migrant workers do jobs that we do not want to do anymore and contribute much to our economy.,Informative,MIGRANTS
Women are basically childlike.,Some people retain their ability to remember the wonder and innocence of childhood. This has nothing to do with gender though.,Informative,WOMEN
Using violence to punish another person? Sounds like a muslim issue.,"That is what biased news reports would have you believe, but violent incidents are committed by people of all faiths, muslims just get reported on more.",Informative,MUSLIMS
"We cannot even take the dog for a walk, we could offend Muslims.","I do not see why that would be offensive.? Please do walk your dog, it needs the exercise.",Humor,MUSLIMS
Muslims must go to hell! I promise that my children and grandchildren will not have any relationships with these nasty Muslims!,"May I remind you to mind your language? Do you want to share me with your anger, maybe I can help you?",Denouncing,MUSLIMS
"Women would like to have sex with as many different men as possible, and this is the root of all the ills of the world.","People have the choice to have sex with whomever they want, that is all.",Positive,WOMEN
"Islam is a political ideology and ideology of hate, inciting hatred against people of different faiths.","This is not true, Islam is a religion and hate has no religion. Rather, this misunderstanding is a political ideology promoting hatred and violence against Muslims.",Informative,MUSLIMS
All Muslims are incompatible with any Western society.,"Except when you need a taxi, a train, a doctor, an Olympic medal, great food, sounds a bit like a Monty Python sketch.",Humor,MUSLIMS
Homosexuals are a danger to children.,Do you know of any studies on this?,Informative,LGBT+
A Muslim is only allied with Allah.,We are all doing our best for our country under God.,Positive,MUSLIMS
Immigrants are invading our country. They are not welcome here.,"In the EU, governments can recognise people from other countries as citizens . The fundamental rights of immigrants are also recognised here. We cannot say that people from other countries are not welcome, unless we wish to illegally exclude them.",Informative,MIGRANTS
Gays are dangerous: they are spreading AIDS all around the world because they are promiscuous and fornicate with strangers!,"Associating AIDS and HIV with homosexuals is just a prejudice driven by fear. Even if this disease may be more common among gay people, that does not mean that all homosexuals are likely to have AIDS. Not all homosexuals are promiscuously fornicating with strangers, as you said. Most people check their partners, more so as gay men.",Informative,LGBT+
Muslims should be taken away from our country because they aren't accepted by anyone.,"Then why did we ask them to come in the first place, wasn't it top save our NHS, run the trains and post office. Non of those were doing very well last time I looked, I think we might actually still bneed them.",Denouncing,MUSLIMS
Every Muslim can commit a terroristic attack one day.,Why would you stereotype and generalise an entire community for actions of a few?,Denouncing,MUSLIMS
"Image (features protesters with signs such as 'behead those who insult islam') with a caption saying 'We are labelled as islamophobic but how can we be accused of such a thing, if all they want is to murder all of us?'.","On a brighter note, a counter-terrorism protest held by more than 10,000 Muslims advocated peace and people held posters denouncing terror.",Positive,MUSLIMS
"Feminists pretend that they are for men's rights, but they are just a bunch of cry babies.","All societies have had gender inequalities, whether you identify as a male or a female. So why do you think that women are somehow ""less than"" men?",Informative,WOMEN
We need to stop accepting Muslims and start welcoming us.,"Muslims already have a very high tolerance level. We just need to learn to live with them, and there is evidence that this is possible. This is how we can start welcoming us, as humankind.",Positive,MUSLIMS
"I hate black people, I hate their violent behaviour, I hate their rape, and I hate their disrespect for women.","You can't generalise about a whole race based on stereotypes and prejudice, because that's not how things work.",Informative,POC
"Europe is civilised, Muslims should not stay there.",A 'civilised Europe' would never ban a group based on their religious belief; Islamophobic sentiment such as this is the antithesis of civilised.,Denouncing,MUSLIMS
Only Jews could have been smart enough to plan and execute such a complicated and intricate plot as 9/11,"400 Jews died in September 11 terrorist attacks, so not one of the smartest plan I ever saw!",Informative,JEWS
"The UK and us must fight Islam! Islam is intolerance, Quran, jihad, being gay, barbarism and so on. It is a disgusting cult!","You sound like Muslims are guilty in every problem of the modern society. Non-muslims are equally often intolerant and barbaric, and they suppress gay people as well.",Denouncing,MUSLIMS
"We must not believe the liberal and political elite. Islam is no good, its complete evil, and an ideology of war and it was always like this. All Muslims are bound to fight against us, and that is what they do through deception and violence.","There are criminals, who are from UK, raping children and murdering people. Maybe it better we should first focus on these cases and think how we could decrease the number of crimes.",Informative,MUSLIMS
Muslim folks are violent and should not live here.,The Muslim people who have lived here for generations have been amazing and friendly. We can learn a lot from them.,Positive,MUSLIMS
Our children are being forced fed with this 'Islam' nonsense in schools. This is a disgrace.,What do you mean by being forced fed? I haven't seen anything like this.,Informative,MUSLIMS
"You can say whatever you want, but one day Islam will be defeated and western society will be the winner. This will happen, because Islam cannot be part of the western society. Islam will not be considered anymore.","Islam has given many things to the Western society. For example, medicine, mathematics. These things belong with our society. It is not correct to deny all good things about a certain culture.",Informative,MUSLIMS
"Since 2000, the number of suicide bombings by Muslims = 5284; by non-Muslims = 0. One of the fact about Global Terrorism no one wants to deal with.","Your statistics are not right, where did you get them? Why skew the stats to focus on Muslims when every terrorist, bomber, and rogue shooter needs to be stopped.",Question,MUSLIMS
"Women need to accept that they are weak, they must be submissive to men.","I want women to be strong and independent and able to take up any career they want. If women choose to be submissive to men then that is their choice, but you cannot suggest that being treated this way in spite of their choices is ok.",Positive,WOMEN
"Islam is the most dreadful and brutal religion, because it causes death and despair more than other religions and creates nothing but trouble.",There's league table?,Question,MUSLIMS
"I'm not a woman and I'm not a cunt. So, I do not identify as a feminist.","I hate to break it to you, but women are not cunts. Feminists and humanists are fighting for the same rights that they hope to have in a thousand years. Hating women is the problem, not the solution.",Denouncing,WOMEN
Jewish folks control the media,The fact that in the media there are some people from certain religions does not in any way suggest that they control the media. How do you explain antisemitism in the media then?,Informative,JEWS
"Women are subhuman, they cannot lead a good life, and should therefore be subservient to men.",Women are human being like us: they deserve equality and respect.,Positive,WOMEN
The death of the West by the hand of Islam will be the end of the world.,"The West has always been about freedom, democracy and the rule of law. Freedom and democracy are things that can be achieved only by a multiethnic, pluralistic, civilised society.",Positive,MUSLIMS
"Thousands of British girls are raped, enslaved or murdered by Muslims and other non-British immigants. Woe to thee!",Evidence please? This is just hatred.,Question,MUSLIMS
"Fuck Islam and Fuck ISIS. We should repatriate all Muslims. They are all a bunch of violent criminals who do not share our values and never will. Without them Britain will be a better, safer place.","The truth is the worldwide Muslims denounce ISIS and its violence. Plus, many Muslims are the victims of ISIS. According to <The Guardian>, 'Isis regularly publishes a hit-list of global Muslim leaders in its online magazine, which certainly helps to explain why Muslims from Syria and Iraq may want to migrate to countries like Australia.'.",Informative,MUSLIMS
Mentally disabled people cannot cope with life.,"There are ways to overcome the problem, without treating it as a burden. For example, being more sensitive to people's needs.",Positive,DISABLED
Jews are not part of this society and they should not be accepted here.,"We are a diverse society, so why shouldn't we be proud of being inclusive towards other religions?",Positive,JEWS
"We should not trust any Muslim, they all could become a terrorist.",How can you say a person is a potential terrorist?,Question,MUSLIMS
Our country is fighting a war against Islam for a thousand years.,"You sound a bit paranoid mate, I do not think Muslims feel the same way.",Humor,MUSLIMS
Downies are dumb,"According to this study [link], the mean IQ of a young adult with Down syndrome is 50, equivalent to the mental ability of an 8- or 9-year-old child, but this can vary widely. So, no, they are not dumb.",Informative,DISABLED
Islam is run by monsters and terrorists. We must defeat them.,Terrorist organizations do exist in many religious groups. Defeating terrorism is different from defeating Islam.,Informative,MUSLIMS
This is an invasion. Millions of strangers jeopardizing our race and culture.,So one migrant would not be a problem for you? Diversity is not about numbers. It's about the diversity of all people in different situations.,Informative,MIGRANTS
Muslims had destroyed a Christian statue in Italy. Italy should ask itself why they are allowed to build mosques and why is tolerating these despicable people.,"Muslims also contribut a lot to our society by doing manys works that our own people do not want to do, or doing cutting edge research.",Informative,MUSLIMS
"Muslims and islamists are false people that pretend to be victims. In addition to that they criticize other cultures for using violence, although their religion professes that.",What is that? Sounds like you are blaming another culture and feeling like a victim.,Denouncing,MUSLIMS
It is strange how now the majority of 'Easter Eggs' are named 'Chocolate Eggs'. Maybe this change happened because of the Muslims in our country? The companies do not respect our culture!,Looks to me like supermarkets just want to sell more products to people regardless of faith.,Informative,MUSLIMS
"We are being invaded by immigrants, they are taking our jobs, and we are indifferent to what is happening.",What do you think will happen if we end migration? Lets stop avoiding the real issues and solve the unemployment crisis.,Informative,MIGRANTS
We need to Burn the Koran and all the Mosques down - this will solve all problems in this country.,Is this actually a way forward? I do not think that religious practice is responsible for bad behaviour of some people. Clearly there are other motivations for this type of behaviour.,Informative,MUSLIMS
"We should not trust any Muslim, they all could become a terrorist.",Every Muslim is a potential peace advocate as well.,Positive,MUSLIMS
I'm tired of women complaining about men being a threat to women only to turn a blind eye to women threatening men.,Do you think that threat is a problem only when it comes close to you? It is a problem for anybody. Women are standing for their rights as human beings.,Informative,WOMEN
Every Muslim is a potential terrorist.,Terrorism is a problem that impacts upon us all and is not necessary related to being Muslim.,Informative,MUSLIMS
London is invaded by Muslims. It is more Londinistan than London. #londonhasfallen.,"Must be hard for you being in a vibrant, international metropolis.",Humor,MUSLIMS
Muslims are a problem in my opinion. They do not want to assimilate. They do not want to assimilate into Western society.,Is it because you don't like Muslims? Are you talking about the fact that you don't like Muslims living in your country?,Question,MUSLIMS
Those blacks are slaves: slavery runs in their blood.,"It is wrong to say that blacks are ""slaves."" This is a very inaccurate, misleading and offensive term that is being used to tar all African Americans. Why do you label black persons as a ""slave"" and not as a ""person""?",Informative,POC
"These liberal standards! Muslims are intolerant with other cultures, women and homosexuals, but our society protects them with this liberalist policy.",Sweeping statement about an entire faith.,Denouncing,MUSLIMS
The vast majority of Muslims are unemployed and refuse to work.,Have you spoken to or worked with a muslim?,Question,MUSLIMS
"Muslims follow a despicable religion! They are envious of our territories and want to take possession of them, spreading their religion! This does not respect our holy scriptures!","Why do you think Islam is evil? The major beliefs in Islam encourage liberty, equality, and life. For instance, they teach people to respect for the lands and all creatures.",Question,MUSLIMS
Using violence to punish another person? Sounds like a muslim issue.,Using intolerance and discrimination against anyone different? Sounds like a western issue.,Humor,MUSLIMS
"We are every day in constant danger, because Muslims can blow us all up. For this fact we should put all Muslims in a hole in the ground.","This is a disgusting thing to say, you would not say this about non-Muslims would you?",Denouncing,MUSLIMS
"This is the goals of Islam when Muslims settle in a country: build a mosque, form a community, obtain victims, get support from the politicals, take advantage of laws, impose Sharia, conquer the country.","Is it facts or just your imagination? I do not agree that they aim to take control of us. Maybe they are trying to build their society inside our country, but you are hypothesizing too much,.",Informative,MUSLIMS
Image (features protesters with signs such as 'behead those who insult Islam) with a caption saying 'How can we be Islamophobic when they really do want to kill us'.,"Even if true, how does hatred counter hatred?",Denouncing,MUSLIMS
The vast majority of Muslims are unemployed and refuse to work.,Let's be honest a quick google search shows that simply isn't true. Please tell me where on earth you managed to drag up those stats from?,Informative,MUSLIMS
"Being transgender is beyond the pale and inherently wrong, and nobody should have to deal with such subhuman people.","Being transgender is not inherently wrong, and some people do choose to live their lives as they feel is best for them, and they should be respected without discrimination.",Positive,LGBT+
Gays are sick. They should be isolated and isolated soon. They have no place in civilised society.,"In civilised countries (including Western countries) homosexuality is legal, and homosexual people have full rights. Gay people must be loved and valued for who they are, like everybody else.",Positive,LGBT+
Gypsies get the priority for council houses.,"Statistically, it almost never happens that they get the priority.",Informative,other
The problem with Islam is that it is about killing infidels.,Islam is a religion and all religions are about love and respect for human life.,Positive,MUSLIMS
"Some Muslims might not be involved in assaults but the basis of their religion is jihad, and they all support it. Islam in all its parts have Sharia law, and so all Muslims are extremists.",Have you asked every single Muslim about their opinion? I suppose not. Then please do not speak for everybody!,Denouncing,MUSLIMS
"Immigration is the cause of our misfortunes, migrants are responsible for our problems.","The West has been a great success, thanks to its diversity. It is time to start thinking about what happened in the past without prejudice and look at the strengths and weaknesses of migration policies.",Positive,MIGRANTS
Islam is a violent religion and an ideology of conquest.,"How can you say anything like that? Do you think that whatever you want to say, such as Islam is violent, the Bible is violent, or any other religion is violent, is OK as long as it is not opposed to the truth of the religion you profess?",Question,MUSLIMS
"It seems that I cannot define Islam as a cult which promote wars and conquers host nations and legitimate this by its scriptures. Can I define them as narrow-minded, prejudiced, sexist and male chauvinist?","Have you ever truely understand the religion Islam, including its history, principles, or teaching? Islam actually teaches people to respect life and care for people. It is also what the majority of Muslims follow.",Positive,MUSLIMS
Downies may hinder the productivity of other workers because they are not able to interact in a normal way. They should be isolated.,"There are various levels of Down syndrome. Some are suitable for working with other people in ""normal workplaces"".",Informative,DISABLED
Western societies are too much civilised to welcome Muslims.,"Muslims must show loyalty to whatever society they reside in, as failure to do so is going against their religion and loyalty to God.",Positive,MUSLIMS
Shaming Fatties is just for their good.,Shame is by definition a painful social emotion. Trying to cause that is a form of discrimination. Are you aware of that?,Informative,other
"The myth is that Islam is an alternative culture, but the truth is that it a barbarism, an ideology similar to Nazism.",That is a very serious charge. Could you share how you form this thought and how you receive this information? The truth is that Islam encourages people care for others and criticizes violence.,Question,MUSLIMS
"Go fuck yourselves disgusting Muslims! You wont marry my kids or grandchildren, we all hate you!","I do not know what Muslims have done to you, but I know many beautiful and kind persons among them. So it is very rude and inconsiderate of you to call them disgusting.",Denouncing,MUSLIMS
Jihadi Bride wants to return to the UK now that Isis is defeated. She gave up all rights when she joined the terrorists. Let her rot in a camp in Raqqa!!,"This isn't really about the lass as such, more about a countries responsibilities for its citizens, surely, including not just leaving another country to sort out the mess caused by our rogue citizens.",Informative,MUSLIMS
"If I cannot go to their countries and build a church, why should they come to our countries and build mosques?","British Muslims give more to charity, per capita, than all other religious groups [link to mend statistics and/or example of one large charity donation from a Mosque], so I am struggling to see the problem with Mosques where these funds are mostly raised.",Informative,MUSLIMS
We began to break down when we allowed women to vote/meddle in our civilizations that we had built and maintained for thousands of years. A completely different energy and thought pattern. They are weak and brought our society down to their emotional soft level.,"Why is being 'soft' a problem? Everyone is entitled to their emotions and feelings, without being trapped into a gender stereotype.",Positive,WOMEN
"I think Islam is not a religion because it promotes evil, murder and rape and intolerance. It encourages anti-Muslim bigotry and hatred.",Where's the evidence for what you say?,Question,MUSLIMS
Immigration has reduced wages for native workers.,What's the proof for that? Actually in many cases immigrants make higher contribution to the economy than the native-born.,Informative,MIGRANTS
Why do we have so many immigrants with citizenship? They only commit crimes and have nothing to do with our society.,I don't think we can be that rough to all the people who are adapted to the national way of life and eventually became citizens. Maybe we should give a little more thought to increasing the effectiveness of the social inclusion mechanisms of migrants.,Informative,MIGRANTS
The only purpose of Islam is to dominate and destroy us! Being multicultural has nothing to do with it.,"My friend, but do you really know what Islammic ideology is?",Question,MUSLIMS
Muslims in China were forced to eat pork and drink alcholol during the recent Chinese New Year celebration - At least China is doing it right!!,"Would you say the same if this was about say, Tibetan Buddhists suffering the same sort of coercion?",Denouncing,MUSLIMS
Asylum seekers and refugees can get free council housing,"Those who apply for asylum get little or no help from the state. If they are ‘destitute’ they can get free accommodation, but provided by private companies in older properties leased from landlords. So no council housing is involved here.",Informative,MIGRANTS
"The Koran incite violence, in a written way.",The Koran is a book of rules for faith and spiritual guidance which is understood and accepted.,Informative,MUSLIMS
"Migrants bring crime, violence and poverty.",Empirical data is needed to support your claim.,Informative,MIGRANTS
"Islam is a political ideology, it has no place in 21st century Europe.",Why do you think it is a good idea to label people based on their religion? It is discriminatory to say this about a person's belief.,Denouncing,MUSLIMS
I'm tired of woman taking part to political debate. Feminism is a divisive force in society.,"Feminism can't be blamed for being ""divisive"" or ""adversarial"" because society and the sexes were more divided and adversarial before the time of feminism. More women and men are in agreement on feminist issues now, than when sexist beliefs were dominant in society. This unity is only growing, with more and more people understanding the finer points of true egalitarian society. The entrenched, recalcitrant sexists who make the exception should only blame themselves.",Informative,WOMEN
Only who cannot understand what Islam and Muslims really are can support it.,There's definitely some ignorance here but it is not where you think it is.,Humor,MUSLIMS
"Liberal double standards! Muslims oppress women, homosexuals and other cultures but are not held responsible due to our society's tolerance! The government should stop submitting to these people.","Double standards all round lots of British culture and Christian faiths oppress women, homosexuals and other cultures from #equalpay #metoo #timesup job restrictions in the church to condoning/ hiding sexual violence and child exploitation #thetruthproject.",Informative,MUSLIMS
Women and girls are harmed by Islamic that were allowed to enter in our country by our government.,"Even though it is difficult to have exact report on sexual crimes, on the sex offenders register are white men, based on former Chief Crown Prosecutor for the Crown Prosecution Service in 2017. Stop blaming others and help our girls and women.",Denouncing,MUSLIMS
Our western civilisation risks to be destroyed by islam.,I'd say the real threat is divisive comments like this.,Denouncing,MUSLIMS
"Muslims have nothing to contribute to our society, they only came here to rule us with violence.",Islam is a religion of peace.,Positive,MUSLIMS
Isis Bride wants to return to the UK. Let her rot. A dog born in a stable is not a horse. Not BRITISH! Not BRITISH! Not BRITISH!,"A British dog born in a British stable is not a horse, but its still British. We have obligations both 'to' and 'for' our Citizen's, be they good or evil surely?",Informative,MUSLIMS
Women haven't the right to an abortion.,Abortion is a personal choice and women should have a special position in this regard.,Positive,WOMEN
"These liberal standards! Muslims are intolerant with other cultures, women and homosexuals, but our society protects them with this liberalist policy.","Homophobia and sexism are not Muslim attitudes, there are many non-Muslims who are homophobic, sexist, and intolerant of other cultures. The Qur'an teaches tolerance and peace.",Informative,MUSLIMS
Muslims are like the plague and now they invading London. They must be sent to their homeland as soon as we can!,"If we invite people to live and work in our country, to fill the mills and factories, of the 1970's, for example, its a bit of cheek to turn around decades later and describe their grand kids as an invasion or a plague, do not you think?",Denouncing,MUSLIMS
Using violence to punish another person? Sounds like a muslim issue.,Just to note than muslims believe only god can punish or forgive. The violence seems to be your issue.,Denouncing,MUSLIMS
Muslims are not civilised and Europe does not want them.,They are here because 'civilised' crusaders first went there and more came later we invited them over to rebuild the our civilsation after the war.,Informative,MUSLIMS
migrants steal our jobs,The reality is that the jobs that are done by asylum seekers are often declined by our compatriots...,Informative,MIGRANTS
I am done with Islam and isis. All Muslims should be sent to their homeland. Britain will be better without their violence and ideology.,Are you blaming all community for the action of a few? Doesn't seem very fair does it?,Denouncing,MUSLIMS
"I think that unfamilarity with Islam is wit, not xenophobia. How can we be defined islamophobic, if we are in contrast with an ideology?",Prejudice = Pre-judging ie not knowing anything how can that be common sense?,Informative,MUSLIMS
Since 2000 there were 5248 suicide bombings and all of them were made by Muslims. But nobody considers this when talking about global terrorism.,Your statistic about suicide bombings also includes incidents in war. Perhaps we should remember the holocaust and the atrocities committed by the far right?,Informative,MUSLIMS
"Go on talking to yourself, no one will listen. Islam does not belong within western society. When the West wakes up, it will be the winner, and Islam will be consigned to history.","I am not sure what you think the West will be the 'winner' of. Islam isn't in competition with Western culture, and the idea it threatens it is a myth spread to incite fear.",Informative,MUSLIMS
"Whether you accept it or not, people are concerned with Islamic rape gangs and the spread of extremism.",People's concerns must be based in evidence and not hatred.,Informative,MUSLIMS
A person's religion doesn't matter to me. I am only interested in sex. The only possible sexual act is between a male and a female.,"Being asexual and 'queer' should not matter to you, like a person's religion does.",Positive,LGBT+
"Bring back lynchings and death sentences to kill those migrants, they don't deserve trials.","When people are denied justice, more people are deprived of their basic rights, and that is exactly what your suggesting.",Denouncing,MIGRANTS
"The West has been attacked by immigrants, they are the real problem for our countries.",The UK has always been a melting pot of cultures and humanity. We are stronger together than apart. How would the immigrants represent an 'attack' to the west?,Positive,MIGRANTS
"Islam is thinked to be a different culture, but actually is a cruelty, a group of beliefs similar to Nazism.",No. A religion of 1.6 billion people is not the same as Nazism and it is ignorant to say so.,Denouncing,MUSLIMS
Islam is a violent religion. Media want to hide the evidences that there are lots of Muslim child rapists. They raped children more than a hundred times in a week.,Child rapists are a tiny sick minority across all communities. Islam does not condone it and Muslims do not accept it.,Informative,MUSLIMS
Black people are an abomination. They don't belong here.,The fact that people of color are different from you in some way does not make them not worth living with. Maybe if you had known someone of a different skin color you wouldn't have a racist attitude towards others.,Positive,POC
"Many Muslims have emigrated to Western countries. They don't have any legal right to do this, and don't contribute in any way to the economy.",Are you saying that they contribute nothing to our economy? How would you explain the thousands of Muslims worker all over the nation?,Informative,MUSLIMS
"‘Juice (Jews) are worse that nukes.’ Caption to a meme showing Hiroshima 1945 and present day, contrast against pictures of Detroit in 1945 and present day.’",Really? I'd sit with a group of Jews any day.,Positive,JEWS
Women should be oppressed: no one can see any value in them.,"Women should not be oppressed. Furthermore, women in Europe have been democratically elected to positions of power, so there are people who see value in them, don't you think?",Informative,WOMEN
Islam is a totalitarian ideology that denies women their rights and promotes rape.,"I bet you live in a safe country with generous laws and free media, where you can say whatever canard comes to your mind.",Denouncing,MUSLIMS
We are forced to economically support all of them,"The cost of immigration from the last Economic and Financial Document, published last April and containing the consolidated figure for 2017, is estimated to have a total expenditure of about 4.4 billion euros, which represents only 0.26% of Italian GDP, and around 0.5% of public spending. In short, 99.5% of public resources are used for something else.",Informative,MIGRANTS
It is obvious that this girl is at risk of FGM. Her parents are Muslims!,"The problem is, it seems to me like you are just using this as an excuse to express your Islamophobia. Fgm is a very serious breach of human rights and you do not seem to be interested in tackling the real problem.",Informative,MUSLIMS
"Islam has nothing to do with western culture and as soon as the west will understand, this religion will be defeated.","Islam does belong in our multicultural Western society. Unfortunately for you, intolerance doesn't.",Informative,MUSLIMS
