id,hatespeech,counterspeech,csType,target
136,I went to a shit load of therapy. I still don't feel safe in my own house with all these black people around.,Not all black people are bad. Not all black people are criminals. Not all black people are violent. Being aware that there are people different from you is a good thing.,Positive,POC
137,"Islam is a death cult, it is spreading from the rocks of Iraq and Afghanistan to all around the world, by the practice of violent jihad.","Do you know where your information came from, and can you point that out? Did you read that in a New York Times article? Or did you listen to the BBC documentary ""Islamic State's Most Wanted""?",Informative,MUSLIMS
138,"muslim immigrants are animals, they cannot integrate.","If we want to integrate more, let's focus on getting more skilled and allowing in more people with relevant knowledge and experience. But let's not discriminate against people based on their religion.",Positive,other
139,"If the disabled can't vote, then they can't have any rights.","There are many people who do not exercise the right to vote, but this does not mean they havre no rights.. Surely it is the most vulnerable members of society that most need us to secure their rights?",Informative,DISABLED
140,Statistics say that 99% of muslims in the uk are so lazy that they do not want to work.,"100% of the unemployed Muslim stats I read on Twitter are fake. Muslim unemployment is at 12% in the UK, and many of that number are actively seeking work.",Informative,MUSLIMS
141,Children with Down Syndrome are an obstacle to the development process of other children. They should be isolated.,"Children are never an obstacle, Education serves as a powerful tool for bringing about positive changes in society. Education can transform people's life, improve the quality of their lives and so on. We cannot isolate people with Down syndrome.",Positive,DISABLED
142,Immigrants are entering the U.S. just to obtain welfare and other benefits.,"A part from very few exceptions, undocumented immigrants are not eligible for federal public benefits such as Social Security, Medicaid, Medicare or food stamps.",Informative,MIGRANTS
143,A woman should not be allowed to have an abortion. The man should decide for her.,"A person's right to have an abortion is a personal one. And if that person has the right to make her or his own choice, then they should have the right to do as they wish.",Informative,WOMEN
144,Jews control the u.s. government.,"Of course there are Jews in a positions of influence within the U.S. government, likewise people from many other religions.Maybe its best not to rely on 'race' as the best way of interpreting the world?",Informative,JEWS
145,migrants rape our young children and they are not welcome here.,"In many parts of the world, migration from outside the established community is used as a weapon by groups that promote intolerance and violence. Your words might have the same effect.",Informative,MIGRANTS
146,African Americans are subhuman and are just a bunch of animals.,"For many African Americans, sharing culture and traditions and striving for equality have always been part of life. They are, in many ways, just like us. They are human beings with the same rights as anyone else.",Positive,POC
147,Why do women put up with this constant whining? They are just a bunch of emotional child.,I do not understand how can you say something so offensive to women. Think about your friends and relatives: all women are affected by this kind of misogyny.,Denouncing,WOMEN
148,Persons with learning difficulties should be discouraged from attending secondary school and they should be excluded from education.,"Even if individuals with learning difficulties would be more likely to attend school with more efforts than others, it does not justify denying them education in the first place.",Informative,DISABLED
149,gay men are just a bunch of liars who can't tell the truth.,"People lie for all sorts of reasons, and being gay can sometimes be quite dangerous even life-threatening, so that's why they have to lie, as a self-defence.",Positive,LGBT+
150,"If a black person were to say that all white people are bad, nobody would complain.","The statement ""all white people are bad"" is not a fair statement. Many whites are 'good' and some are 'racist' because they think that being white is a mark of superiority.",Informative,POC
151,Lesbian women dress like men.,"That's not how it works, lesbians can also be 'ladylike'. In fact sometimes they are coerced to be very cautious about how they dress, because - unfortunately - some of their outfits can be dangerous attracting hate and bullying.",Informative,LGBT+
152,Jews are addicted to their religion and should be isolated.,"Even if Jews were addicted to their religion, there is nothing wrong in them joining a community of other people, regardless of the fact they're believers.",Positive,JEWS
153,Immigrants are coming to the U.S. to have babies here.,"Undocumented immigrants consistently cite reasons for migrating other than the desire to have a baby here. Sensible, because any son/daughter cannot obtain a green card for the foreign parent until they are 21.",Informative,MIGRANTS
154,Migrants rape our girls.,"Rape is always a crime, regardless of who the rapist is. It is not about nationality, it is about violence and disrespect for others. We must try to address the root causes of crime instead of demonising people for their origin.",Informative,MIGRANTS
155,The problem is that Jews are genetically evil but behave like whining pussies.,"Jews suffered and have been persecuted more than anyone else, even though they are only a tiny part of the world's population. Nonetheless a few of them are still around and alive: maybe this really is the ""problem"" for some antisemites.",Informative,JEWS
156,I've been into Muslim shops in areas of Birmingham and they have refused to serve me. I've even seen signs saying 'No Whites After 8pm'.,If I spray something on a wall and tag it HRH does that make it the law? I am even willing to add a stamp as photo id. First class of course. There's enough going on without falling for fake news and internet rubbish.,Humor,MUSLIMS
157,"If feminism were really about equality, they would call their movement ""equalism"" or some similar crap.","Equalism would mean the movement for equality in general. Feminism is focused on gender. Animal rights, gay rights, anti-racism, sexism, etc. are separate issues inside the movement for equality.",Informative,WOMEN
158,"Gypsies steal our jobs, we don't want them back.","The majority of Gypsy workers are proud and hard-working people. Even if some could lack good will, in my mind there is no question that they are extremely productive and hard-working people.",Positive,other
159,Black people don't have brains.,"The presence of a brain is not determined by skin colour. The fact that some people are born darker-skinned doesn't mean they aren't intelligent, rational human beings.",Informative,POC
160,Downy children should be isolated in special schools for their own interest.,How can you think that discriminated children are better off in such schools? It is neither for their own interest nor the other kids who miss the chance of learning to respect diversity.,Informative,DISABLED
161,Obama should have been impeached. Niggers are the cause of the corruption in the government.,"While race cannot be a contributing factor to impeachment, corruption may be. Still it does not automatically make a president illegitimate. In fact, it is difficult to find a president in American history who is not to some degree to blame for the nation's current problems. Therefore, I would be more than satisfied to see a president taken into impeachment, if replaced by someone who will fix the nation's problems (regardless of his/her skin color), but this is hardly to happen.",Informative,POC
162,"This is why faggots moved to the UK, so to have a job and provide for their perversions. But I want to protect my family.",Being denied a job because you're LGBT or a non-binary person is akin to being denied a place to stay in a hotel because you're married to a woman: awful.,Informative,other
163,Jews are a disease like COVID that is killing Europeans.,We all have close relatives who have died from different diseases such as COVID. Let's not make parallels that have no grounding and let's not judge people by the religion they belong to.,Positive,JEWS
164,Children with Down syndrome should be isolated so they do not hurt other children.,"I believe that if we care enough about people with Down syndrome to give them equal opportunities in our society, we will also see the benefits that would accrue to us as a society from sharing the disadvantages that they face.",Positive,DISABLED
165,Children with Down Syndrome may hinder the development process of other children. They should be isolated.,"An inclusive system makes every child feel part of a community, it fosters a positive learning atmosphere and increases engagement and attention in all students. Thus it is a benefit for all students. [link]",Positive,DISABLED
166,Disabled people are no better than dogs.,Do you have any facts about how disabled people compare to animals? Are you willing to use this information for something worthwhile or just to spread hate?,Informative,DISABLED
167,"The’ Holocaust’ is a business. It has been and is still used to extort millions from European countries in reparations and to create a wall of impunity behind which Jews can operate with impunity, free from criticism.","The Jews suffered horribly during WWII, as did many other groups. Reparation is just a simple way to enable survivors to rebuild their lives. It is also a small step toward regaining our humanity.",Informative,JEWS
168,Go and reat the Protocols of the elders of Zion if you haven’t. Everything is orchestrated..,Did you know that this nonsense (the protocols) was concocted by the czarist police in the early part of the 20th century to counter a hankering for constitutional government among Russian people?,Informative,JEWS
169,This is an invasion: Millions of strangers jeopardizing our race and culture.,It seems to me that your words derive from fear: the root of intolerance and violence is fear. Respect and openess can help combat that and thus end the fear of an alleged invasion.,Positive,MIGRANTS
170,LGBTs are a burden to society,"LGBT+ people are more likely to experience stigma associated with their sexual orientation, which can have negative effects for our society as a whole. Why don't we try to show some acceptance and respect towards them?",Positive,LGBT+
171,"Women are nothing but trouble, they should be submissive.","Luckily this is not the case. In many parts of the world, including parts of the Middle East and Africa, increasing numbers of women play breadwinning roles and become lifelines for their families.",Informative,WOMEN
172,"We must overthrow the existing state, and replace it with a white suprematist one.","There are many conflicts and problems to be solved, and racism is not an answer for them. The law was created as a means for society to solve those conflicts, and it accepts people of different colours as citizens.",Denouncing,other
173,Immigrants bring crime and violence to our cities.,"Recently, there has been a harsh campaign against immigrants. Public figures have accused them of being “killers” and “rapists”. Still, studies have shown that immigrants are less likely than nativeborn citizens to commit crimes. According to the U.S. Chamber of Commerce, while the percentage of immigrants in the U.S. increased sharply between 1990 and 2010, the violent crime rate during the same period plummeted 45 percent and the property crime rate dropped by 42 percent. To feel safer you'd rather replace your U.S. neighbor with migrants.",Informative,MIGRANTS
174,"Trans men are neither male nor female, therefore they're not humans.","If you want to an absurd perspective about a whole community, it's not fine. This attitude seems to be everywhere: sometimes people have to suffer if they are ""that kind of person"", as is the case in this examles, where a gender identity is often used to limit a person's rights. This shouldn't happen.",Denouncing,LGBT+
175,mentally ill people should be isolated from society because they are dangerous.,"It is true that mentally ill people are often perceived as 'dangerous' to the general public. But if the stigma is the main cause of the discrimination, then the solution is to end stigma, not to isolate them.",Informative,DISABLED
176,Migrants want our land because they like our houses better than theirs. It's a matter of envy of our richness and safety. They are not truly in need. And they are responsible for their own troubles.,"How would you feel if your neighbours were planning to bomb your country? Would you feel responsible? Would you feel safe in your own house, or would you try to flee?",Informative,MIGRANTS
177,Jewish folks control the media,The fact that in the media there are some people from certain religions does not in any way suggest that they control the media. How do you explain antisemitism in the media then?,Informative,JEWS
178,All black people are rapists.,We need to work together to address the main problems that challenge us today and in doing this we should not judge other people by the colour of their skin.,Positive,POC
179,"Children with Down Syndrome should be isolated, not only are they a burden to normal children but they also require much more care, attention and extensive therapy, making the whole undertaking very costly and time-consuming. This time could be used for further development of children without Down syndrome.","Coeducation can involve teaching the classmates of children with Down Syndrome to be responsible. As children are often better at approaching children with disabilities than adults, their involvement can be therapeutic, without adding any costs.",Positive,DISABLED
180,"Nowadays the big problem in London is the presence of muslims, they must go away!","In my opinion, many people want to emigrate to London means London is a charming and enjoyable place for living. Isn't that a wonderful thing and we should keep this trait?",Informative,MUSLIMS
181,"We live in a dangerous society, with Muslim gangs and criminals all over the country.","Despite the local press blaming all Muslims, of course, there is no evidence that Muslims are more prone to crime than the general population. The main problem is poverty, and often mental illness and addiction, rather than a single faith.",Informative,MUSLIMS
182,Homosexuals have no place in a civilised society.,"Homosexuals exist, and are as much a part of civilized society as anybody else. To spread hate is more of an uncilised act than loving someone of the same sex.",Positive,LGBT+
183,Immigrants steal our jobs and even our pensions. They are not welcome here!,"If we considered foreigners to be ""troublemakers"" then we should probably be less welcoming, but it seems we are still not willing to give up our ""standard of living"" that requires migrants to be here.",Informative,MIGRANTS
184,Don't they realise that they are just workforce to us?,"Our immigration policy is about welcoming the best and the brightest, plus those in need. Being a part of the European community is about more than just asking for showing your papers.",Informative,MIGRANTS
185,Whores are not the real victims! Why should we care? We are the victim of feminism.,"This is just a lie: some media deliberately spreads this nonsense slut-shaming, with the result of only inciting hatred against the women who are raped.",Informative,WOMEN
186,Jews think they are better than everyone else,"This idea comes from a misinterpretation of the Torah in which the Jewish people were “chosen” to accept the responsibility to be a “light unto the nations,” that is to say, an example of good behavior for all. But the “chosen people” concept has been twisted over time by some who say that the Jews think they are better than non-Jews.",Informative,JEWS
187,Jewish folks are bad.,"This is not true. Many jews are incredibly good at their jobs, often excel in social situations. They are excellent in many communities. I don't see how being jewish would make you a worse human being.",Informative,JEWS
188,Black people' do not belong here. I don't see any difference between the black murderer on TV and other niggas in town. They are all dangerous.,"Black people in news media are actually misrepresented with a disproportionate number of criminals, sexual offenders, and in some cases, murderers. A large part of this problem is a result of racism. We need to end this toxic way of thinking and talking, and start working towards building a more just and peaceful society.",Informative,POC
189,A woman's place is with her husband or his family.,"There are many cases where the wife works and provides for the family, making a valuable contribution. It is a source of pride for modern men to be married to these women.",Positive,WOMEN
190,"White people are better. Because of our skin color, anatomy, history.","There are different skin colors, and different ethnicities. Different religions and cultures. Maybe it would be better if you treated people like we're all born equal.",Informative,other
191,"Muslims have committed a crime two days ago and yesterday the court did not punish all of them. All the common citizens should punish them properly, if the nation does not do anything to counter the violent Muslims.","What happened to the good old British values of stuff like 'tolerance' and 'respect for the rule of law' - what you are suggesting sounds like mob rule, vigilante action and people running around with burning torches?",Denouncing,MUSLIMS
192,MIgrants are not running away from wars.,"Unfortunately, there are areas of the world where there are small conflicts - we are not aware of - that affect small groups rather than an entire nation",Informative,MIGRANTS
193,"UK Education Secretary: ‘All children from the age of 4 will have mandatory lessons on same sex relationships.’ – This is not about Education, this is about willingly confusing and indoctrinating kids and preventing them from developing their personalities.",We are always evolving as a society as time goes. Same sex relationships are a part of our world now. Why should we hide different ways of life from our children?,Positive,LGBT+
194,"Black minorities vote to strip wealth, power and opportunity from White people.","Minorities would never hope for such an impact on the rest of the society. Instead, they vote for the equal wealth, power, and opportunity for everyone.",Positive,POC
195,"Children with Down Syndrome should be isolated, because in any case normal children would make them feel different, ending up in unwanted discrimination.","I think that the proposed solution is the problem in this case: People with Down Syndrome are unlikely to feel discriminated unless they are victims of overt discriminatory acts, such as isolating them.",Informative,DISABLED
196,Foreigners are literally flooding into our country. Their every action must be monitored and recorded by the police.,"We are fortunate to live in a country where the vast majority of people have open hearts and minds. Immigrants are part of our country, as opposed to what you say.",Positive,MIGRANTS
197,"Every black person who wants a job should apply for it, and stop complaining about discrimination.","This statement is untrue. Some job seekers get rejected on the basis of their race. POC apply for jobs, but their civilian unemployment rate in U.S. is almost twice the rate for whites.",Informative,POC
198,Allowing gays to donate blood compromises patient safety because of their sexual behavior that spreads diseases such as HIV.,"Many countries allow gay men to donate with no deferral. This proves it is safe, unless they are all crazy of course.[https://en.wikipedia.org/wiki/Men_who_have_sex_with_men_blood_donor_controversy#List_of_countries_with_their_stand_on_MSM_blood_donors]",Informative,LGBT+
199,"People with Down syndrome are retarded, so more likely to abuse drugs and alcohol.","You seem to be under the impression that Down syndrome is related to bad behavior. Down syndrome is not related to bad behavior at all... The point is that people with Down’s syndrome can be very sensitive to the feelings of others, and they may be picking up on these feelings. So the real problem is when they are exposed to bad influence.",Informative,DISABLED
200,"Muslims learned the corrupted skill of playing the part of the victim, accusing other culture for the violent doctrines that are expound in their main books.","Muslim's face huge amounts of discrimination and prejudice everyday the evidence is incontrovertible and yet most just keep going and working hard, its not playing the victim.",Informative,MUSLIMS
201,"Jews have a secret plot to subvert Western society, because they think they are equal to us and they want our wealth.","You are absolutely right about one thing: there are a large number of Jews who share the belief that all people are created equal, but that does not mean they want to subvert Western society.",Informative,JEWS
202,Fat people are a burden to society because of their unhealthy choices.,"Society should not treat obesity as a lifestyle choice at all. While lifestyle is a small contributing factor to obesity, obesity itself isn’t always a choice.",Informative,other
203,"Women are psychopath, and an adulterous woman who has been unfaithful to you for many years is like an arsonist in a building that you built together. She will burn down that place, exactly because she knows you love it. Life will never be the same.","Life is never the same after you've lost someone, being them a man or a woman... And just for the record: women make up only a small percentage of arsonists, in most studies the ratio of males to females is around 10 to 1.",Informative,WOMEN
204,The Gypsies are not my brothers.,"The Gypsies have been persecuted for thousands of years. They have always been an ethnic minority facing discrimination. They are human beings, like the rest of us, and deserve to be considered as such.",Informative,other
205,Islam is just a moon cult masquerading as a religion.,"Yes, a 'moon cult' that has been around for thousands of years, has holy books, formed the basis for many early and modern societies. Sounds a lot like any other real religion to me?",Informative,MUSLIMS
206,"If only society accepted that women aren't human, like we are, they would understand.","In order to accept that women are human people, society has to acknowledge that they are born that way, just as men are born like that. It makes no sense to blame someone for their gender.",Informative,WOMEN
207,"Women are the scum of the earth, and should only be seen as sexual objects. We are meant to submit them to our will all the time.","Women are not meant to be slaves to our will. Males can have certain strengths, like women do, however they alone do not represent all the human qualities.",Denouncing,WOMEN
208,Immigrants replace the British people. They are not fit to live here.,"People have always had different views on the UK and on the world. To suggest that immigrants are replacing the British is the result of racism, saying that they do not fit here is just wishful thinking.",Informative,MIGRANTS
209,Negroes are nothing but trouble to white people.,Do you think it is true that the only reason that so many black people live in poverty is because they are mean? Can we blame a whole community because of the actions of a few individuals? It is a myth that black people are a problem.,Informative,POC
210,Go and reat the Protocols of the elders of Zion if you haven’t. Everything is orchestrated..,"The protocols were written by the czarist police in the early part of the 20th century to counter riots for constitutional government among long-repressed Russian people. ""The Protocols"" did their work well: people returned from thoughts of liberty to slaughtering Jews.",Informative,JEWS
211,"Thousands of our girls abused by Muslim rape gangs, commanded by Koran. Why do we keep accepting this?","We are not accepting this. These people are being rightly punished for their actions. But my question is, what is the point of bringing up the religion? Do you really think this is the cause of the problem?",Questioning,MUSLIMS
212,"We don't discriminate, but disabled persons are lazy.","Despite what you may hear, there is no 'lazy person's lobby'. Instead, there is evidence that discrimination is a problem in the UK. All people have the right to be treated as equals in society, regardless of their ability.",Informative,DISABLED
213,"Black people are all diseased criminals, promiscuous sex addicts and thugs.","This is a generalisation. There is no evidence that black people are less healthy than other people, or that they have the characteristics you mentioned.",Informative,POC
214,We shouldn't welcome Muslims. They are most likely to perpetrate terrorist attacks in Europe.,Muslims have been and continue to be a part of Europe for centuries. They have given so much to our society and culture. They have enriched our lives and we should not be afraid of them.,Positive,other
215,How come nobody is moaning about black people being lazy and unmotivated? They are the problem.,"Discrimination, being based on the difference between a person's skin color shouldn't be a part of our lives. Wouldn't you find such unequal treatment affects your motivation?",Positive,POC
216,I have the right to choose to support antifeminism because they are anti-men.,Being in favour of a person's right to choose is not being anti-men. What is being anti-human is wanting to have an effect on someone else's personal life.,Positive,WOMEN
217,Immigrants fail to live up to the standards we hold in our societies.,"Excuse me, do?'the?standards we hold'?include denying to immigrants basic human rights such as not being discriminated against? Because that is not the notion of?equality and morality that I have",Informative,MIGRANTS
218,"Africans are the cause of all the ills in the world. Plus, their bodies are weak and we are born to dominate them.",Aree you suggesting that we shouldn't live with Africans? To think that we are genetically superior to them because of their physical characteristics is just wrong.,Denouncing,POC
219,We have to stop gay people spreading AIDS.,"Perhaps what you're saying is just hyperbole, but you seem to have a problem accepting sexual minorities in your community. Perhanps you should accept that STD is a problem of all the people regardless of their sexual identity.",Informative,LGBT+
220,Jews are welthy because they are naturally good with money.,"Actually, many Jews are not wealthy. There is a sizeable population of Jews who live in poverty, all around the world. For example, close to 1 million American Jews live in low-income households.",Informative,JEWS
221,Downies in industry are a problem: they create tensions with other workers because they are disabled and cannot keep the pace. They should have special jobs just for them.,"If you think that taking all of the people with DS out of industry will solve the problems in the workplace, then you are wrong. Tensions won't go away: stressed people will simply target other workers who are overweight; or of a different gender; or in a number of other ways for which they are considered to be not productive enough.",Informative,DISABLED
222,People with disabilities shouldn't be listened to.,"You might be judging others by their disabilities, but this is bad. There is value in listening to others, and understanding their points of view, regardless of their mental or physical condition.",Positive,DISABLED
223,Jews do not want to assimilate.,"One of the great things about Jewish culture is their ability to assimilate. If I am honest, I don't see any other religion that does it more than them.",Positive,JEWS
224,Muslims are only in it to make us explode.,"Actually, the vast majority of Muslims in the country are here to do jobs that are not performed by other people, or to provide for the needs of their families, or to start new businesses.",Informative,other
225,Children should learn about gender identity and sexual orientation from their families rather than in class from LGBT fundamentalists.,"What if parents choose not to educate or discuss LGBT issues with their children? Where will they learn? From their peers? I agree that there are some sensitive subjects that are best addressed by parents, but this is human behavior and biology; aka science.",Informative,LGBT+
226,Islam oppresses and persecutes gay and women.,Many faiths are changing to end inequality and persecution of women and gay people and each have people who resist that change. Islam is no better or worse.,Informative,MUSLIMS
227,Refugees are a problem. They are a burden to society.,"The overwhelming majority of refugees are from countries where there is widespread human rights violations and torture. They are not a problem, they are a benefit to our society.",Informative,MIGRANTS
228,"Everyone is entitled to their opinion, but I think it's better to have a safe space for disabled people to have their own feelings away from society.","If we want to discuss negative views we can discuss them by name. Instead of using a safe space to protect them, I think we are only protecting ourselves by isolating and bullying people.",Positive,DISABLED
229,All blacks are violent criminals.,"Do you have any statistics on that? Are you claiming that black people are more likely than whites to be arrested for certain types of crimes, for example aggravated assault?",Informative,POC
230,Immigrants: We are not your brothers. We do not want you in our country.,"Please don't speak on my behalf. They live here, pay taxes and work. Do you really want to take the country back from the people who contributed to bringing it into being?",Positive,MIGRANTS
231,Downies are dumb,"According to this study [link], the mean IQ of a young adult with Down syndrome is 50, equivalent to the mental ability of an 8- or 9-year-old child, but this can vary widely. So, no, they are not dumb.",Informative,DISABLED
232,LGBTs don't know how to have a family. You can't teach that.,"It's not necessary to teach LGBTs about how to live as a family, it is more important to educate others about the difference between right and wrong (homophobia belonging to the latter).",Informative,LGBT+
233,"If a woman wants an abortion, she is a bitch.","I don't know about you, but I think only a woman should have to choose whether or not she wants an abortion for herself. If a woman wants an abortion she should get one from a qualified medical professional.",Informative,WOMEN
234,"All migrants are criminals, rapists, thieves, and everyone else we don't want in our country.","Do you actually think that every person who enters our country is a criminal, a rapist, a thief? Maybe they just want to have a better life, and what you are saying is that all these people should be in prison just because they are looking for a better life?",Informative,MIGRANTS
235,migrants steal our jobs,"While it is unfortunately true that our national employment situation is really worrying, don't you think that foreigners often carry out activities that we do not want to do?",Informative,MIGRANTS
236,Jews run the world.,"For every person claiming that Jews run the world, luckily there are millions of others who know this is not true: they are merely trying to provide for their families just like anyone else.",Positive,JEWS
237,Homosexuals are sick. They should be isolated and confined.,"Unfortunately, it seems that you have prejudice against homosexuals. In the West, even if they are still stigmatized as deviant they can feel at home. Really, they are just trying to have normal loving relationships.",Positive,LGBT+
238,"Islam is a violent religion, it is an ideology of conquest, rape and murder.",Violence is never a religious act. It is never a solution to any problem. People are capable of carrying out those violent acts irrespective of their beliefs.,Informative,MUSLIMS
239,"I don't like all these gays, they are just a bunch of sick people who should go to a mental hospital.","Although there are people who are attracted to people of their own sex, this is not a characteristic shared by everyone, and it is not a characteristic you should be trying to ""cure"".",Informative,LGBT+
240,women are only useful for sex.,I do not know if there is a fair interpretation of your words. Maybe if you were more sensitive you might understand that relationships are about far more than simply sex.,Positive,WOMEN
241,People with disabilities are just privileged spoiled children.,"It is important to remember that disabled people often face discrimination. This could have serious long-term consequences, for example making it harder for people to have a serene life. This is why it's important to fight for their rights.",Informative,DISABLED
242,Migrants take our jobs and make us poorer.,"Why should they? Migrants provide for their families and also for our countries, representing a valuable workforce, as well as being valuable people to get to know.",Positive,MIGRANTS
243,"What about the psychos? Like crazy people, those nuts flipped in head and so on? Wouldn't they be better off dead?","There are individuals suffering from mental illnesses like schizophrenia, bipolar disorder and autism spectrum disorders. Just because some people suffer from diseases it does not mean he or she will be better dead.",Informative,DISABLED
244,"All women are subhuman, but want to take over from men.","The idea that there is such a thing as ""women hating men"", or ""women are inherently subhuman"", is just a completely unfounded and baseless stereotype that has been used as an excuse to justify a lot of bad things, from violence to rape culture.",Informative,WOMEN
245,"I can't stand lesbians, they're just a bunch of bitches claiming they are social justice warriors. They are ruining many good things of women.","Social justice is just part of a healthy system, I think it is important to remember that. But why do you think they are ruining many good things for women?",Questioning,LGBT+
246,Gypsies like living in trailer parks.,"The trailer parks should really be a temporary and emergency solution, but then they become stable over time and are the only possibility of accommodation for them even if they would like to live, like all of us, in adequate housing.",Informative,other
247,I'm tired of woman taking part in political debate. Feminism is a divisive force in society.,"There are still groups trying to reverse legal protections for women's rights that have only existed since the last century. Even if one were to suppose that womend didn't need more rights, we need feminists just to keep things from going backwards.",Informative,WOMEN
248,"Religious islamic fanaticism is on the rise in Europe, this is a direct result of the migrant crisis.","Migrants come to Europe from all over the world and many of them are fleeing wars, poverty and discrimination. They are often persecuted for their religion. It is important not to demonise them, but rather to understand what causes them to leave their countries.",Informative,other
249,"The UK was a better place when it welcomed only true British citizens, and not those filthy Muslims we accept in our country nowadays.","The UK has always been a cosmopolitan society, in which people from a huge range of backgrounds and religions have lived side-by-side. So you are totally wrong.",Informative,other
250,People with physical disabilities are less intelligent.,"Many people with disabilities experience prejudice and discrimination, but the overwhelming majority of those people are just as intelligent as others.",Informative,DISABLED
251,Some races have lower physical and cognitive abilities therefore their life is less valuable.,"A person's value is rooted in their ability to experience feelings, emotions, empathy and self awareness. Since all humans have these capacities, then we are all born equally valuable.",Positive,other
252,Maybe the UN could talk to those asian and african nations responsible for 90%+ of the pollution in the oceans' instead of insisting on this bullshit about climate change.,"You're right, ocean pollution is one of the main environmental problems we face, however, climate change is a global problem, and everyone should help to combat it, no matter where in the world you are from!",Informative,other
253,Jews secretly control the world.,"if Jews really ran or controlled the world, how is it possible that they have been systematically persecuted over the last several thousand years? Weird notion of control...",Informative,JEWS
254,"All the Muslims should have been punished for yesterday, not only a few. Citizen will take action if the government does not do anything.","What happened to the good old British values of stuff like 'tolerance' and 'respect for the rule of law' - what you are suggesting sounds like mob rule, vigilante action and people running around with burning torches?",Denouncing,MUSLIMS
255,Physically disabled folks are mistakes and should not have access to public services.,Only the government should decide which people will have access to public services and which will not. It is up to the individuals whether or not to accept health professionals treating them.,Informative,DISABLED
256,"Lesbians deserve to be discriminated against. If they don't want that, they'd better give in to heterosexuality.","Do you really think that 'they'd better give in' when it comes to their own preferences? We aren't all gay, or lesbian, bisexual, transgender or intersex, but some people are. That's all.",Denouncing,LGBT+
257,"Women are basically childlike, incapable of critical thought and emotions, unable to form complex and long-term plans.","The theory of the feminine gender as a ""limiting factor"" in human development has been around for a long time but it is not accepted by scientific and medical literature.",Informative,WOMEN
258,I don't see how racism is considered inappropriate by some people. To treat niggas as inferior is just natural and very appropriate.,"Racism is a system of domination and oppression of some groups over others, and this must be fought. You cannot discriminate against people and claim some alleged privilege based on your skin color.",Denouncing,POC
259,Woman and feminist do not want equal rights and opportunity: they aretrying to take over society.,"I'm sorry, but this is wrong. Feminism - the theory of the political, economic, and social equality of the sexes - is by definition about equality, first and foremost.",Informative,WOMEN
260,Blacks don't have brains.,"You can't really question whether someone has a ""brain"" when your idea of a person is determined by the skin they were born into. It looks like you are taking too much at face value.",Informative,POC
261,"This is not the way I want our society to be. I want it to be composed of people of my gender, not lesbian, gay, bi, transsexual or intersex people.","The LGBT+ community is extremely accepting, I met so many LGBT+ people over the years that are so inclusive because they can accept the values of others. You can start by accepting yourself and your own gender.",Positive,LGBT+
262,Muslims have nothing to contribute to our society.,"The knowledge western society is built on was discovered by Islamic scholars, then colonialists claimed it as their own. Our society would not be so developed without Muslim contributions to science, medicine, and many other fields.",Informative,MUSLIMS
263,Fat people are a burden to society because of their unhealthy choices. We should stop unquestioningly accepting obesity.,"Society is not in any danger of 'unquestioningly' accepting obesity, and few are even asking for unquestioning acceptance. Most body positive groups would settle for obesity being seen as something that does not diminish human worth.",Positive,other
264,Migrants are a burden to the UK,"It is not true that migrants are a burden to the UK. We have welcomed many people from around the world, including many from the Middle East and Africa.",Informative,MIGRANTS
265,The feminists have won. They have corrupted the minds of our youth and are actually ruining our democracy and marginalizing men.,"The concept of feminism is a progressive and inclusive term - inclusive of all women and men regardless of their identity or sexual preference - but on egalitarian basis. In fact, by definition feminism means “the advocacy of women’s rights on the ground of the equality of the sexes.”",Informative,WOMEN
266,"This world has become so corrupted by feminism, that only the strong men can rule it.","No one should ask for the power to rule over others, to be a dictator or to have total control over the means of life. This is a world of equal distribution, where anyone can achieve anything.",Positive,WOMEN
267,"Women should not be allowed to vote, this is a male-dominated country and they have no place in our democracy.",I don't think that a country can be 'male dominated' and a democracy at the same time. Democracy is also about equal rights and opportunity for everyone.,Informative,WOMEN
268,Gender identity is determined by a person's biological sex. Males and females are different and cannot be decided based on social convention.,"Gender identity is not to be confused with biological sex. It's a social construct based on societal stereotypes that are strongly influenced by family, culture and other social factors. While each individual has the right to choose their gender, this doesn't mean that their biological sex is the same.",Informative,LGBT+
269,Niggers are rapists and drug dealers.,"Generalizing in this way, to a community, what happened to some individuals, is pointless. In the same way one could respond: black people are presidents of the United States of America.",Informative,POC
270,"Immigration is the cause of the unemployment crisis, the EU has no strategy to handle the situation.","Perhaps you are not privy to the ""strategy"" of the EU's migration policy. You suggest that the problem of unemployment is the result of uncontrolled immigration from developing countries, but without any evidence.",Informative,MIGRANTS
271,We must stop migrants and refugees: Islam is incompatible with western society.,"Refugees and migrants are part of our society, their presence is a benefit and, by the way, they are not all Muslims. So, my question is: why not welcome people from every walk of life?",Positive,other
272,Go and reat the Protocols of the elders of Zion if you haven’t. Everything is orchestrated..,The alleged conspiracy of the protocols is so plainly fictional that it is nothing but bad fiction. It lacks even the colors of what normal fantasy books needs to possess. How is it possible that a person with a modicum of education can swallow such drivel?,Informative,JEWS
